id,artist
u0,4b2d6a23-034d-4a29-9bb9-d2462796da4e b6b2bb8d-54a9-491f-9607-7b546023b433 86644ffd-b184-4164-bbb4-69eefedc292b 9c1ff574-2ae4-4fea-881f-83293d0d5881 20883363-1ea4-4d72-ad72-c0e767038f3e 7e13cd1c-0300-4d03-bd8e-5f86dd99d74f 92dc699f-fcbc-4278-afbe-40b5ad060a55 c26c3822-451f-4545-b55a-bd09a3c815ae 91436354-22e4-4c16-be69-4c9561946d5b 11ae9fbb-f3d7-4a47-936f-4c0a04d3b3b5
u1,8a7a4e72-a099-425f-8238-80706fc1c746 b1fedd29-577d-45b1-95a7-d477f0fb6bd5 d8f9a4bd-ec27-4e29-8b3e-b8bdb62f950e ee1a6d4a-b1ff-46a8-acf2-af575424bda5 5a217fef-76cb-43f7-95ba-75d0c495783f 9af2e75f-5eed-4008-88dc-d9491625434f a4f54716-24d9-4c6b-8ba7-1d7e7a5173d0 86644ffd-b184-4164-bbb4-69eefedc292b f6dfc44d-5da4-4ed1-949b-32715630dff4 fcf7a3e7-135c-4c7a-b0b9-1a7867761263
u2,9d30e408-1559-448b-b491-2f8de1583ccf 70a709a1-8083-44c4-b61f-f7d10e1004d9 ad3eb8ea-f541-4e3a-b550-7900bdc4992b 1b0b533e-9a62-4a95-9c68-f2e140dde9da 340cbd2f-a20d-4b99-86d2-1621e8f2d828 83998f9c-846b-4294-aede-d7735531c901 e664d1cd-23ab-48d5-b8fa-e98485daa5be 69fa5c49-12ec-4c86-a238-4e07cc6d1a7d eb2432e6-8d97-41b0-beba-b36e77ddc5b8 54d76201-3b30-4722-978f-2abdd62e88dd
u3,9e53f84d-ef44-4c16-9677-5fd4d78cbd7d ea4dfa26-f633-4da6-a52a-f49ea4897b58 9e0e2b01-41db-4008-bd8b-988977d6019a 8538e728-ca0b-4321-b7e5-cff6565dd4c0 a3cb23fc-acd3-4ce0-8f36-1e5aa6a18432 31cc08f3-838d-4160-bcd9-a691dd126901 8c90ad8c-9150-4c51-a1eb-342232e99d06 a0ef7e1d-44ff-4039-9435-7d5fefdeecc9 c3171463-d55c-4140-ad06-dbdac29c508c b5da400c-9a62-4686-b6fe-91518e57ce5d
u4,b7ffd2af-418f-4be2-bdd1-22f8b48613da 83e59f23-3b0b-4304-834d-5bcafd5df6d2 190c5aa5-0ae9-4ebc-83a9-642ec9226932 c3171463-d55c-4140-ad06-dbdac29c508c 3c3c2903-2107-4f79-aadc-319c118f35ba 847e8284-8582-4b0e-9c26-b042a4f49e57 31cc08f3-838d-4160-bcd9-a691dd126901 e795e03d-b5d5-4a5f-834d-162cfb308a2c 8538e728-ca0b-4321-b7e5-cff6565dd4c0 3155cccb-fe72-4ad0-8e5f-2935fb6cd7ee
u5,3c3c2903-2107-4f79-aadc-319c118f35ba 4967c0a1-b9f3-465e-8440-4598fd9fc33c dcbd7e51-de76-47d6-aadc-7e38b779f82d 763e1b10-0e76-4e4e-8ea6-b883171c7829 013c8e5b-d72a-4cd3-8dee-6c64d6125823 b5da400c-9a62-4686-b6fe-91518e57ce5d 4f8ef4a3-40fa-46b5-8773-97686a8424f4 3155cccb-fe72-4ad0-8e5f-2935fb6cd7ee c3171463-d55c-4140-ad06-dbdac29c508c 31cc08f3-838d-4160-bcd9-a691dd126901
u6,59e29b79-a77a-434e-becd-1207bfdc8f34 ba1384a7-8b0e-4ea6-bf0c-f1ec17a06d14 381178df-339f-447a-a68b-e4ef306b3da1 5441c29d-3602-4898-b1a1-b77fa23b8e50 190c5aa5-0ae9-4ebc-83a9-642ec9226932 3c6a1239-9858-4ec6-8bf2-208fd2659c68 689851b0-bfec-4ac6-954b-11b3b9db14ae b5da400c-9a62-4686-b6fe-91518e57ce5d 3c3c2903-2107-4f79-aadc-319c118f35ba 3155cccb-fe72-4ad0-8e5f-2935fb6cd7ee
u7,265f242e-cf4e-4fbe-a3fe-43112387172f 8538e728-ca0b-4321-b7e5-cff6565dd4c0 c62e843e-cb0c-4f11-b2e5-cd7cb7ad81bc cb67438a-7f50-4f2b-a6f1-2bb2729fd538 11b1a7c4-3a48-43f8-9d57-6a81fdd1eeba 2645702c-97a3-45dd-b408-707362116101 e7fa2614-2da5-496f-b575-07ece506a5d2 7b7d3e68-d2a6-44c5-8d30-fc8824d4cd9c 1f064e2d-aa55-4631-8f62-e2c14bbe1f4e 86644ffd-b184-4164-bbb4-69eefedc292b
u8,37e8a831-340a-4bc2-9a33-bdf3a6b802d9 1f064e2d-aa55-4631-8f62-e2c14bbe1f4e c37412cd-f0cc-4507-8825-48f95aef3624 ee1a6d4a-b1ff-46a8-acf2-af575424bda5 cef9233d-78ef-41d5-9bac-f2ca21aa4a40 75224f04-739d-4cef-abe3-d6940e7a1139 cf1894f6-f80a-4edc-ad32-6d32bede1438 69fa5c49-12ec-4c86-a238-4e07cc6d1a7d 68898948-189b-4098-9f05-639333763b44 8d62a782-3c12-4067-9bce-80fd91ddd5c0
u9,20e264d7-b4d5-4e49-8931-a9c67ff07f04 9940c604-2456-4193-a403-ab18420bc1e9 0efe858c-89e5-4e47-906a-356fa953fd6e b91f0973-002e-4237-a39f-c7e02e786e53 c23b637b-97c6-41eb-8ef6-6c724efc80a8 ada7a83c-e3e1-40f1-93f9-3e73dbc9298a d8915e13-d67a-4aa0-9c0b-1f126af951af cb67438a-7f50-4f2b-a6f1-2bb2729fd538 190c5aa5-0ae9-4ebc-83a9-642ec9226932 95e9aba6-f85c-48a0-9ec9-395d4f0e3875
