id,artist
u440,ba0d6274-db14-4ef5-b28d-657ebde1a396 52074ba6-e495-4ef3-9bb4-0703888a9f68 e8414012-4a1c-4ad4-be5e-fc55294e28cc ea321799-9b1d-4e74-a074-a5facf597d82 b0799818-22cb-4564-8e68-3c410d0722ee 1a9a8ca0-ea8e-4e9e-96aa-288155bb2c5d d4305549-6b4e-4a57-b24d-8af0743fe191 31cc08f3-838d-4160-bcd9-a691dd126901 3c3c2903-2107-4f79-aadc-319c118f35ba c3171463-d55c-4140-ad06-dbdac29c508c
u603,1946a82a-f927-40c2-8235-38d64f50d043 efa2c11a-1a35-4b60-bc1b-66d37de88511 092ca127-2e07-4cbd-9cba-e412b4ddddd9 69158f97-4c07-4c4e-baf8-4e4ab1ed666e e0975164-e68b-45d6-9854-d5d0ce84e671 a65442a0-7cf2-4994-91ab-aa3d3bb7c960 1f064e2d-aa55-4631-8f62-e2c14bbe1f4e 75224f04-739d-4cef-abe3-d6940e7a1139 e595ed1c-9251-4362-a816-534f141d16ce 5a217fef-76cb-43f7-95ba-75d0c495783f
u280,1b0b533e-9a62-4a95-9c68-f2e140dde9da 83998f9c-846b-4294-aede-d7735531c901 7a519099-d4c8-46c8-805b-214dab0e58a2 397bdd61-95b9-44e1-90aa-ff27e6bc28cf 91436354-22e4-4c16-be69-4c9561946d5b cef9233d-78ef-41d5-9bac-f2ca21aa4a40 2d970f40-cd00-44c1-9fc8-0721da8048e2 663b0be4-8e49-4ca9-b771-58e169e4e628 a8be3422-d905-42c9-90b6-90ee45e3e938 8b477559-946e-4ef2-9fe1-446cff8fdd79
u602,ff95eb47-41c4-4f7f-a104-cdc30f02e872 a066b730-3809-4b39-a091-2297d40b51db 75224f04-739d-4cef-abe3-d6940e7a1139 1f064e2d-aa55-4631-8f62-e2c14bbe1f4e 689851b0-bfec-4ac6-954b-11b3b9db14ae 675c1c5e-5625-4a5e-97a2-b02aab5db2fc 3c3c2903-2107-4f79-aadc-319c118f35ba 09f50a8b-0f8f-4b86-9805-513d81691a03 02e3d15f-4f86-41b7-b4c2-9ba2ec98af83 c3171463-d55c-4140-ad06-dbdac29c508c
u644,2251718f-7b5c-4a92-9267-895125c594d3 c30ebe30-514f-4e6d-823a-19adf0225a56 0fa1e771-9aa6-49fe-82b7-d5ea09f33519 39822e8d-f24e-4f07-b51b-28b22e59fbdb 8d08484c-c532-457a-a04c-2510da38744e af8fd97c-db72-4e30-b2aa-30ebd0c4f1a0 83998f9c-846b-4294-aede-d7735531c901 c1ff0be7-b894-4881-9571-b5175009912b 2e8ac3ed-2a89-4377-ba80-790106aba554 340cbd2f-a20d-4b99-86d2-1621e8f2d828
u182,3ff72a59-f39d-411d-9f93-2d4a86413013 d43d12a1-2dc9-4257-a2fd-0a3bb1081b86 12d432a3-feb0-49b1-a107-d20751880764 5894dac5-0260-4175-b36e-e34680a859d6 05517043-ff78-4988-9c22-88c68588ebb9 31cc08f3-838d-4160-bcd9-a691dd126901 689851b0-bfec-4ac6-954b-11b3b9db14ae 3c3c2903-2107-4f79-aadc-319c118f35ba c3171463-d55c-4140-ad06-dbdac29c508c 10b7b68c-390d-469a-915b-40bac704f288
u183,4a60824c-be84-44c5-8632-c0c2b2ff145f c1f8e226-75ea-4fe6-83ce-59c122bcbca4 313a0007-b9d3-4036-921a-ce311f9795ad eb2432e6-8d97-41b0-beba-b36e77ddc5b8 8d08484c-c532-457a-a04c-2510da38744e 50eec634-7c42-41ee-9b1f-b41d9ca28b26 54d76201-3b30-4722-978f-2abdd62e88dd c1ff0be7-b894-4881-9571-b5175009912b 4d2949b4-eb5f-4296-b71a-04603c6a9802 6e64cbfa-1a60-450e-81f4-c044c868ab24
u180,69158f97-4c07-4c4e-baf8-4e4ab1ed666e c3aeb863-7b26-4388-94e8-5a240f2be21b 7e13cd1c-0300-4d03-bd8e-5f86dd99d74f 1946a82a-f927-40c2-8235-38d64f50d043 31cc08f3-838d-4160-bcd9-a691dd126901 20883363-1ea4-4d72-ad72-c0e767038f3e 3c3c2903-2107-4f79-aadc-319c118f35ba 689851b0-bfec-4ac6-954b-11b3b9db14ae 7b61cf8f-c042-4bd4-b64a-25cb40f3dd50 b1fedd29-577d-45b1-95a7-d477f0fb6bd5
u952,5a217fef-76cb-43f7-95ba-75d0c495783f 91436354-22e4-4c16-be69-4c9561946d5b 9af2e75f-5eed-4008-88dc-d9491625434f d700b3f5-45af-4d02-95ed-57d301bda93e 86644ffd-b184-4164-bbb4-69eefedc292b 32a83250-7e26-422d-b9ac-f4564343e9ce 304cdd9d-a04e-4eb2-865c-980a553a0efd 789e5db3-502b-4f13-8039-88c70e053fa5 5cbef01b-cc35-4f52-af7b-d0df0c4f61b9 882d41ca-194d-405a-bfc5-b698ccfd77b4
u186,95e9aba6-f85c-48a0-9ec9-395d4f0e3875 29f6333a-b4c8-4416-8fdf-598bcef1122a ee1a6d4a-b1ff-46a8-acf2-af575424bda5 bbd79854-df54-4c1b-b7d6-cf7eea2d0afb 1f064e2d-aa55-4631-8f62-e2c14bbe1f4e 75224f04-739d-4cef-abe3-d6940e7a1139 a65442a0-7cf2-4994-91ab-aa3d3bb7c960 b1fedd29-577d-45b1-95a7-d477f0fb6bd5 ac4989a9-12de-41e5-af26-6ef59a881c20 09f50a8b-0f8f-4b86-9805-513d81691a03
u187,974fa09f-8761-4fbb-b156-390417d125ae 69158f97-4c07-4c4e-baf8-4e4ab1ed666e 0383dadf-2a4e-4d10-a46a-e9e041da8eb3 5a217fef-76cb-43f7-95ba-75d0c495783f 29f6333a-b4c8-4416-8fdf-598bcef1122a ce028650-d901-4bc5-ac15-d05a66efddfe 11bf566b-a73e-4e8c-ba82-83fdcddd0aed 39f6dcf9-ade7-4dbd-ab8e-b0e83c167d30 02e3d15f-4f86-41b7-b4c2-9ba2ec98af83 32a92586-6f9f-4882-b168-97fd60a99b6d
u184,b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d b4d32cff-f19e-455f-86c4-f347d824ca61 a74b1b7f-71a5-4011-9441-d0b5e4122711 8538e728-ca0b-4321-b7e5-cff6565dd4c0 81435053-e1a2-48a4-adfd-e89f310c7b38 a0ef7e1d-44ff-4039-9435-7d5fefdeecc9 3d2b98e5-556f-4451-a3ff-c50ea18d57cb 9e0e2b01-41db-4008-bd8b-988977d6019a 8c90ad8c-9150-4c51-a1eb-342232e99d06 5d02f264-e225-41ff-83f7-d9b1f0b1874a
u185,c17f08f4-2542-46fb-97f3-3202d60c225a 00a9f935-ba93-4fc8-a33a-993abe9c936b f4a31f0a-51dd-4fa7-986d-3095c40c5ed9 8c538f11-c141-4588-8ecb-931083524186 3d2b98e5-556f-4451-a3ff-c50ea18d57cb 45a663b5-b1cb-4a91-bff6-2bef7bbfdd76 d6e0e274-8e19-44ce-b5b2-52c12f8a674a a3cb23fc-acd3-4ce0-8f36-1e5aa6a18432 ad73761f-c66d-4149-899d-21f56d1969a1 7249b899-8db8-43e7-9e6e-22f1e736024e
u223,69158f97-4c07-4c4e-baf8-4e4ab1ed666e c9b00c4c-44ff-47be-9fc8-5764b45cc7a3 dcb2955e-ff59-4ff2-a608-cbb90ee3ac38 f6dfc44d-5da4-4ed1-949b-32715630dff4 c176c310-59e8-466c-9099-d927ce602d43 90cc2464-234e-4da0-b39b-576f36e633bc 98298c40-5977-4fa2-9085-db36ee51b90b 52074ba6-e495-4ef3-9bb4-0703888a9f68 65041e06-83d2-4987-ae52-c17a915fc82a 86644ffd-b184-4164-bbb4-69eefedc292b
u222,8cecffe6-783a-4aeb-8720-68e46cc5c55d 3c3c2903-2107-4f79-aadc-319c118f35ba 31cc08f3-838d-4160-bcd9-a691dd126901 689851b0-bfec-4ac6-954b-11b3b9db14ae 190c5aa5-0ae9-4ebc-83a9-642ec9226932 c3171463-d55c-4140-ad06-dbdac29c508c 3155cccb-fe72-4ad0-8e5f-2935fb6cd7ee b5da400c-9a62-4686-b6fe-91518e57ce5d 10b7b68c-390d-469a-915b-40bac704f288 86644ffd-b184-4164-bbb4-69eefedc292b
u188,23121875-8f68-49c5-9988-dcb7f8e7a680 66c662b6-6e2f-4930-8610-912e24c63ed1 fa3b825f-7c85-4377-b393-d28a2016e293 765774a0-2060-469b-8b7d-612eea48579b 5182c1d9-c7d2-4dad-afa0-ccfeada921a8 00eeed6b-5897-4359-8347-b8cd28375331 a0ef7e1d-44ff-4039-9435-7d5fefdeecc9 b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d 8d08484c-c532-457a-a04c-2510da38744e 8c90ad8c-9150-4c51-a1eb-342232e99d06
u220,83e59f23-3b0b-4304-834d-5bcafd5df6d2 db4624cf-0e44-481e-a9dc-2142b833ec2f 515b236c-cce1-4dc2-aedd-50de7b1736e2 4a4ee089-93b1-4470-af9a-6ff575d32704 04af2581-6692-4f14-a7fe-151a36f20368 57cb4257-9855-4a42-b1be-bfba1d9b520d 1138a764-2212-4d0a-b02d-0dc14df91e08 70f0e309-5418-49b6-a130-666e2f76eecd 35f866dc-c061-48ba-8157-cf2e0eac4857 25b509ef-48ad-461b-a0bc-94cdddb8c919
